,loanId,loanStatus,loanStatusText,intRate,loanClass,remainingPaymentsCount,subType,subTypeText,holdingAmount,loanTotalTerms,loanPaidTerms,appAmount,classification,todayData
177,6433546,DEFAULTED,坏账,0.1091,E4,31,LIFE_INSURANCE,,577.74,36,5,38838,PERSONAL,False
178,6427684,CURRENT,本期偿清,0.1013,D4,27,OUTSTANDING,,185.44,36,9,78346.41,PERSONAL,False
179,6422219,CURRENT,本期偿清,0.1,A5,3,ULOAN,,92.62,12,9,12730,PERSONAL,False
180,6420502,DELINQUENT,逾期,0.0396,B5,1,MCA_GREENLANE_OFFLINE,,111.37,1,0,100000,PERSONAL,False
181,6320406,INCOLLECTION_M2,逾期,0.0917,A1,6,LIFE_INSURANCE,,84.03,18,12,75869.4,PERSONAL,False
182,6409456,DEFAULTED,坏账,0.09,A1,8,SPEED_LOAN,,65.87,9,1,8554,PERSONAL,False
183,6409076,CURRENT,本期偿清,0.0396,B4,1,MCA_GREENLANE_OFFLINE,,37.82,1,0,150000,PERSONAL,False
184,6398110,DEFAULTED,坏账,0.0879,A1,7,SPEED_LOAN,,86.63,12,5,9030,PERSONAL,False
185,6405866,DEFAULTED,坏账,0.1013,A3,34,OUTSTANDING,,827.9,36,2,149885.47,PERSONAL,False
186,6137606,DEFAULTED,坏账,0.1799,D3,26,LIFE_INSURANCE,,89.64,36,10,96180,PERSONAL,False
187,6319659,DELINQUENT,逾期,0.0396,B4,1,MCA_GREENLANE_OFFLINE,,88.54,1,0,200000,PERSONAL,False
188,6145052,CURRENT,本期偿清,0.1549,C3,18,OUTSTANDING,,137.13,36,18,131802,PERSONAL,False
189,6395925,CURRENT,本期偿清,0.1013,A3,26,LIFE_INSURANCE,,224.42,36,10,149613.6,PERSONAL,False
190,6395008,CURRENT,本期偿清,0.0396,B4,1,MCA_GREENLANE_OFFLINE,,36.62,1,0,160000,PERSONAL,False
191,6388888,CURRENT,本期偿清,0.0396,B4,1,MCA,,30.35,1,0,300000,ENTERPRISE,False
192,6389278,CURRENT,本期偿清,0.1013,A3,26,OUTSTANDING,,1068.49,36,10,114363.48,PERSONAL,False
193,6389173,CURRENT,本期偿清,0.1013,A3,26,LIFE_INSURANCE,,1382.57,36,10,149613.6,PERSONAL,False
194,6386963,CURRENT,本期偿清,0.0953,A2,25,OUTSTANDING,,261.51,36,11,149966.05,PERSONAL,False
195,6385779,DELINQUENT,逾期,0.0396,B4,1,MCA,,53.57,1,0,300000,ENTERPRISE,False
196,6134654,DEFAULTED,坏账,0.1649,C5,22,LIFE_INSURANCE,,97.65,36,14,127782,PERSONAL,False
197,6351296,CURRENT,本期偿清,0.0396,B4,1,MCA,,111.64,1,0,950000,ENTERPRISE,False
198,6374735,CURRENT,本期偿清,0.1091,A4,25,PROPERTY_OWNER,,158.97,36,11,149867.89,PERSONAL,False
199,6375773,CURRENT,本期偿清,0.1091,A4,25,HIGH_SALARY,,94.49,36,11,69158.48,PERSONAL,False
200,6148691,DEFAULTED,坏账,0.1549,C3,25,LIFE_INSURANCE,,46.9,36,11,81066,PERSONAL,False
201,6148226,DEFAULTED,坏账,0.1899,D5,34,OUTSTANDING,,173.1,36,2,98220.7,PERSONAL,False
202,6134484,CURRENT,本期偿清,0.1799,D3,18,LIFE_INSURANCE,,113.32,36,18,149766,PERSONAL,False
203,6292430,DEFAULTED,坏账,0.0912,A1,30,LIFE_INSURANCE,,84.9,36,6,114528,PERSONAL,False
204,6131467,CURRENT,本期偿清,0.1199,B1,18,OUTSTANDING,,124.6,36,18,197679.3,PERSONAL,False
205,6323455,CURRENT,本期偿清,0.1013,A3,23,LIFE_INSURANCE,,152.83,36,13,149280.4,PERSONAL,False
206,6124829,DEFAULTED,坏账,0.2049,E3,23,CAR_OWNER,,278.34,36,13,146819.14,PERSONAL,False
207,6131991,DEFAULTED,坏账,0.1649,C5,26,LIFE_INSURANCE,,202.65,36,10,129156,PERSONAL,False
208,6366231,CURRENT,本期偿清,0.0994,A2,12,LIFE_INSURANCE,,253.34,24,12,67192.2,PERSONAL,False
209,6349954,CURRENT,本期偿清,0.1013,A3,25,OUTSTANDING,,1281.12,36,11,90723.41,PERSONAL,False
210,6156751,CURRENT,本期偿清,0.0953,A2,18,OUTSTANDING,,92.79,36,18,199946.8,PERSONAL,False
211,6133949,DEFAULTED,坏账,0.1899,D5,31,HIGH_SALARY,,56.59,36,5,67342.66,PERSONAL,False
212,6136472,CURRENT,本期偿清,0.1549,C3,18,OUTSTANDING,,84.0,36,18,144383.1,PERSONAL,False
213,6319406,CURRENT,本期偿清,0.1091,A4,23,LIFE_INSURANCE,,200.06,36,13,75081,PERSONAL,False
214,6133001,DEFAULTED,坏账,0.1549,C3,33,OUTSTANDING,,56.63,36,3,92980.32,PERSONAL,False
215,6127878,DEFAULTED,坏账,0.1899,D5,28,OUTSTANDING,,113.04,36,8,78825.22,PERSONAL,False
216,6127720,CURRENT,本期偿清,0.2049,E3,18,CAR_OWNER,,91.66,36,18,149948.5,PERSONAL,False
217,6307811,CURRENT,本期偿清,0.1013,A3,23,LIFE_INSURANCE,,199.53,36,13,149280.4,PERSONAL,False
218,6275042,CURRENT,本期偿清,0.0912,A1,21,LIFE_INSURANCE,,93.68,36,15,53685,PERSONAL,False
219,6125264,CURRENT,本期偿清,0.1449,C1,18,LIFE_INSURANCE,,167.31,36,18,149766,PERSONAL,False
220,6313913,CURRENT,本期偿清,0.1013,A3,23,LIFE_INSURANCE,,69.24,36,13,138600,PERSONAL,False
221,6245027,CURRENT,本期偿清,0.086,A1,21,LIFE_INSURANCE,,5.14,36,15,149125,PERSONAL,False
222,6166110,CURRENT,本期偿清,0.0953,A2,19,OUTSTANDING,,60.17,36,17,114647.3,PERSONAL,False
223,2436109,CURRENT,本期偿清,0.1649,C5,9,LIFE_INSURANCE,,262.37,36,27,149050,PERSONAL,False
224,3074351,DEFAULTED,坏账,0.1499,C2,24,OUTSTANDING,,306.71,42,18,149073,PERSONAL,False
225,5351260,DEFAULTED,坏账,0.2049,E3,20,OUTSTANDING,,585.04,36,16,40369.68,PERSONAL,False
226,6318600,DEFAULTED,坏账,0.1091,A4,35,LIFE_INSURANCE,,727.42,36,1,103560,PERSONAL,False
227,6324198,DEFAULTED,坏账,0.1229,B2,32,LIFE_INSURANCE,,250.86,36,4,38172.7,PERSONAL,False
228,6328062,DELINQUENT,逾期,0.0396,B4,1,MCA_GREENLANE_OFFLINE,,52.98,1,0,200000,PERSONAL,False
229,6321780,CURRENT,本期偿清,0.0953,A2,23,HIGH_SALARY,,299.37,36,13,119896.5,PERSONAL,False
230,6322493,CURRENT,本期偿清,0.0953,A2,23,HIGH_SALARY,,272.53,36,13,119896.5,PERSONAL,False
231,6321633,CURRENT,本期偿清,0.0953,A2,23,HIGH_SALARY,,299.37,36,13,78022.2,PERSONAL,False
232,6323853,CURRENT,本期偿清,0.0953,A2,23,CAR_OWNER,,136.98,36,13,110949,PERSONAL,False
233,6322400,CURRENT,本期偿清,0.0994,A2,11,LIFE_INSURANCE,,215.39,24,13,43550.5,PERSONAL,False
234,6321168,DEFAULTED,坏账,0.0953,A2,27,HIGH_SALARY,,334.55,36,9,119896.5,PERSONAL,False
235,6322765,DEFAULTED,坏账,0.0994,A2,16,LIFE_INSURANCE,,140.06,24,8,105765.5,PERSONAL,False
236,6322403,DELINQUENT,逾期,0.0396,B4,1,MCA_GREENLANE_OFFLINE,,61.13,1,0,80000,PERSONAL,False
237,6321893,DELINQUENT,逾期,0.0396,B4,1,MCA_GREENLANE_OFFLINE,,99.06,1,0,200000,PERSONAL,False
238,6322467,CURRENT,本期偿清,0.0932,A1,11,LIFE_INSURANCE,,98.18,24,13,101958.8,PERSONAL,False
239,6322570,DEFAULTED,坏账,0.0953,A2,31,HIGH_SALARY,,304.55,36,5,59172.8,PERSONAL,False
240,6321808,DELINQUENT,逾期,0.0396,B4,1,MCA_GREENLANE_OFFLINE,,262.89,1,0,90000,PERSONAL,False
241,6323084,CURRENT,本期偿清,0.0953,A2,23,HIGH_SALARY,,300.08,36,13,67165.9,PERSONAL,False
242,6310347,CURRENT,本期偿清,0.1013,A3,23,LIFE_INSURANCE,,964.2,36,13,118800,PERSONAL,False
243,6307899,CURRENT,本期偿清,0.1013,A3,23,LIFE_INSURANCE,,820.01,36,13,149280.4,PERSONAL,False
244,6306961,CURRENT,本期偿清,0.1013,A3,22,LIFE_INSURANCE,,300.28,36,14,149280.4,PERSONAL,False
245,6308122,DEFAULTED,坏账,0.1091,A4,28,LIFE_INSURANCE,,347.73,36,8,148867.5,PERSONAL,False
246,6321659,CURRENT,本期偿清,0.0917,A1,4,DOUBLE_FUND_ONLINE,,130.08,18,14,9922.56,PERSONAL,False
247,6321268,DEFAULTED,坏账,0.0917,E5,9,DOUBLE_FUND_ONLINE,,155.48,18,9,7937.27,PERSONAL,False
248,6322226,INCOLLECTION_M3,逾期,0.0838,A1,2,ONLINE,,78.07,12,10,30000,PERSONAL,False
249,6318967,DEFAULTED,坏账,0.1013,A3,31,CAR_OWNER,,358.19,36,5,129800.81,PERSONAL,False
250,6312539,CURRENT,本期偿清,0.1013,A3,22,OUTSTANDING,,300.28,36,14,132120.45,PERSONAL,False
251,6316163,CURRENT,本期偿清,0.1013,A3,23,LIFE_INSURANCE,,300.3,36,13,149280.4,PERSONAL,False
